device_id,gateway_id,latitude,longitude,altitude,timestamp,RSSI,SNR,spreading_factor,distance_to_start,distance_to_destination,elevation,land_cover_code,land_cover_label,terrain_penalty,path_loss,PDR
1.0,Gateway_1,42.47050775755835,-9.001788139343253,58.9000015258789,1575451237.919151,-109.0,4.2,12,963.1368657901943,680.2327816551077,1.0,60,Bare / sparse vegetation,0.7,123.0,0.9999374784962252
1.0,Gateway_2,42.47050775755835,-9.001788139343253,58.9000015258789,1575451237.919151,-107.0,5.2,12,3250.1089502058526,680.2327816551077,1.0,60,Bare / sparse vegetation,0.7,121.0,0.9999580905827115
1.0,Gateway_3,42.47050775755835,-9.001788139343253,58.9000015258789,1575451237.919151,-120.0,-13.5,12,5770.190069152101,680.2327816551077,1.0,60,Bare / sparse vegetation,0.7,134.0,0.9257264217856661
1.0,Gateway_1,42.47055353393555,-9.001777548925782,57.0,1575451312.525759,-109.0,4.2,11,964.5082821294179,681.3755586647666,1.0,60,Bare / sparse vegetation,0.7,123.0,0.999830048932401
1.0,Gateway_2,42.47055353393555,-9.001777548925782,57.0,1575451312.525759,-107.0,5.0,11,3245.135563248851,681.3755586647666,1.0,60,Bare / sparse vegetation,0.7,121.0,0.9998765901959134
1.0,Gateway_3,42.47055353393555,-9.001777548925782,57.0,1575451312.525759,-119.0,-12.5,11,5767.006385655419,681.3755586647666,1.0,60,Bare / sparse vegetation,0.7,133.0,0.8646647167633873
1.0,Gateway_1,42.47052301535742,-9.001910209555753,25.79999923705055,1575451443.438279,-110.0,5.5,10,954.3616902623918,668.317929450858,1.0,60,Bare / sparse vegetation,0.7,124.0,0.9997253464300279
1.0,Gateway_2,42.47052301535742,-9.001910209555753,25.79999923705055,1575451443.438279,-107.0,8.8,10,3246.8540542336596,668.317929450858,1.0,60,Bare / sparse vegetation,0.7,121.0,0.9999266303356495
1.0,Gateway_3,42.47052301535742,-9.001910209555753,25.79999923705055,1575451443.438279,-120.0,-15.8,10,5762.12081097996,668.317929450858,1.0,60,Bare / sparse vegetation,0.7,134.0,0.0
1.0,Gateway_1,42.45993537084951,-9.002394575208495,50.70000075293945,1575451947.725535,-99.0,7.0,12,1417.2474772852634,1282.091689052061,0.0,80,Permanent water bodies,0.95,113.0,0.9999796004965888
1.0,Gateway_2,42.45993537084951,-9.002394575208495,50.70000075293945,1575451947.725535,-105.0,5.2,12,4413.914547991467,1282.091689052061,0.0,80,Permanent water bodies,0.95,119.0,0.9999580905827115
1.0,Gateway_3,42.45993537084951,-9.002394575208495,50.70000075293945,1575451947.725535,-120.0,-14.0,12,6657.066969257587,1282.091689052061,0.0,80,Permanent water bodies,0.95,134.0,0.9092820467105875
1.0,Gateway_1,42.47024535132813,-9.002385139455331,1.399999975158142,1575452025.504405,-104.0,7.2,11,914.6317129505985,626.8262709440277,1.0,60,Bare / sparse vegetation,0.7,118.0,0.9999488117221309
1.0,Gateway_2,42.47024535132813,-9.002385139455331,1.399999975158142,1575452025.504405,-111.0,3.8,11,3273.1169261713835,626.8262709440277,1.0,60,Bare / sparse vegetation,0.7,125.0,0.9998005605746358
1.0,Gateway_1,42.45975089477539,-9.002907752990723,55.4000015258789,1575452155.394878,-114.0,2.0,10,1406.5558342701217,1280.421675300688,0.0,80,Permanent water bodies,0.95,128.0,0.9988862248521552
1.0,Gateway_2,42.45975089477539,-9.002907752990723,55.4000015258789,1575452155.394878,-114.0,2.0,10,4431.35171397571,1280.421675300688,0.0,80,Permanent water bodies,0.95,128.0,0.9988862248521552
1.0,Gateway_1,42.4598371887207,-9.002974510192871,52.5,1575452192.412477,-108.0,9.0,9,1395.6645480809254,1269.2740328874531,0.0,80,Permanent water bodies,0.95,122.0,0.9998158942063324
1.0,Gateway_2,42.4598371887207,-9.002974510192871,52.5,1575452192.412477,-105.0,9.8,9,4421.388971619609,1269.2740328874531,0.0,80,Permanent water bodies,0.95,119.0,0.9998663117552086
1.0,Gateway_1,42.470314025878906,-9.003597395324707,5.0,1575452253.320385,-105.0,5.5,8,815.7826439800962,527.715875438465,1.0,30,Grassland,0.8,119.0,0.9979705693637043
1.0,Gateway_2,42.470314025878906,-9.003597395324707,5.0,1575452253.320385,-112.0,4.2,8,3256.6105247532882,527.715875438465,1.0,30,Grassland,0.8,126.0,0.9965864415566046
