sample_number,latitude,longitude,elevation_m,land_cover,terrain_penalty,rssi_dbm,snr_db,pdr,path_loss_db
1,51.5,-0.12,5.0,80,0.0,-86.9292299452998,5.204011676191454,0.9561275460678982,100.92922994529982
2,51.522222222222226,-0.0911111111111111,25.0,50,0.95,-95.40776228632478,1.4211263794212328,0.5777857187158632,109.5342836538461
3,51.544444444444444,-0.062222222222222213,20.0,10,0.7,-95.96231604360551,-0.3435419614290939,0.5801693689461166,109.93730205759151
4,51.56666666666667,-0.033333333333333326,7.0,50,0.95,-96.70389499937198,-0.9524713569110623,0.530911101719933,110.65122075694774
5,51.58888888888889,-0.004444444444444431,28.0,50,0.95,-95.53303538186529,0.701267856530724,0.5636776962397382,109.58045321403307
6,51.611111111111114,0.024444444444444463,70.0,10,0.7,-98.40662618689365,-0.42978178382075427,0.5770152897455109,112.5581159887584
7,51.63333333333333,0.053333333333333344,23.0,50,0.95,-96.64455283482857,-0.11955126605420727,0.5474656129817167,110.77301233366303
8,51.65555555555556,0.08222222222222225,44.0,50,0.95,-96.67737706471006,-0.37559794959942017,0.5423860677475213,110.80583656354447
9,51.67777777777778,0.11111111111111113,50.0,40,0.15,-96.39570945330043,0.6270535726936463,0.6860600410436585,110.5284253623913
10,51.7,0.14,86.0,40,0.25,-101.22898034623246,-0.38489851986249013,0.6291974412076917,115.52905989168696
