beacon_number,latitude,longitude,elevation_m,land_cover,terrain_penalty,rssi_dbm,snr_db,pdr,path_loss_db,path_built_up_fraction,path_vegetation_fraction,path_water_fraction,path_avg_penalty,path_elevation_std,max_terrain_obstruction_m
1,51.5,-0.12,5.0,80,0.0,-120.0,-10.0,0.0,120.0,0.0,0.0,0.0,0.5,0.0,0.0
2,51.50955882138549,-0.11553921665961739,3.0,80,0.0,-90.27124982546691,2.030712571497131,0.8596378139277769,104.33024982546692,0.0,0.0,0.0,0.5,0.0,0.0
3,51.52394838296931,-0.12073439351223524,31.0,10,0.6,-97.32735784068869,1.8749205038833727,0.6584148187086708,111.53679587487672,0.0,0.0,0.0,0.5,0.0,0.0
4,51.526260301756295,-0.10179625825762632,26.0,10,0.6,-95.22262839057227,1.2268043849124732,0.636225909111564,109.25609051178436,0.0,0.0,0.0,0.5,0.0,0.0
5,51.53823409644381,-0.10216902412793069,43.0,10,0.6,-95.84655022020462,4.8393959746136215,0.7504304602680731,109.95987714328152,0.0,0.0,0.0,0.5,0.0,0.0
6,51.545376953180856,-0.09288634131264624,34.0,10,0.6,-97.18624844208942,2.5506695204713608,0.6808325341909955,111.21665869849961,0.0,0.0,0.0,0.5,0.0,0.0
7,51.554934980971005,-0.08843442835842019,28.0,10,0.7,-93.87720144619317,1.691280424151014,0.6521928324707028,107.89985620809789,0.0,0.0,0.0,0.5,0.0,0.0
8,51.56690758385444,-0.08881710206121662,30.0,10,0.7,-99.73895452644618,1.8231629015184172,0.6566665978394584,113.92266664765832,0.0,0.0,0.0,0.5,0.0,0.0
9,51.57405043975297,-0.07953670165227643,34.0,10,0.7,-100.16667034902231,2.438571926643619,0.6771676627529094,114.35038247023448,0.0,0.0,0.0,0.5,0.0,0.0
10,51.57636355049539,-0.06058866920063752,10.0,80,0.0,-95.22614887522606,1.8477488627385688,0.8505726548433059,109.28081554189272,0.0,0.0,0.0,0.5,0.0,0.0
11,51.583506407003114,-0.05130675261805479,6.0,80,0.0,-103.31351022040828,4.034544940517,0.9317456038797752,117.3360102204083,0.0,0.0,0.0,0.5,0.0,0.0
12,51.593064234805304,-0.04685991854180492,8.0,80,0.0,-101.36850304000271,3.981590897318624,0.9303861620274254,115.23132355282326,0.0,0.0,0.0,0.5,0.0,0.0
13,51.60262186334315,-0.042415121989387225,11.0,30,0.1,-102.39394787453689,4.315304742479743,0.8708263907926072,116.3806296927187,0.0,0.0,0.0,0.5,0.0,0.0
14,51.6049349765251,-0.023461012292353693,11.0,30,0.1,-104.99483190543117,4.024697394420593,0.86139383751722,118.97280539027963,0.0,0.0,0.0,0.5,0.0,0.0
15,51.61207783303204,-0.014179101994000076,20.0,10,0.7,-94.86054898995936,3.7234653786938026,0.7177888320543603,108.8624277778381,0.0,0.0,0.0,0.5,0.0,0.0
16,51.61439015276925,0.0047775141206386025,32.0,10,0.7,-100.88985327312432,1.7839568631123797,0.6553394959479141,115.10209686286795,0.0,0.0,0.0,0.5,0.0,0.0
17,51.61670167814754,0.023735115561771117,73.0,10,0.7,-100.63115881276441,0.5589918586315646,0.6127410389639523,114.72215240250806,0.0,0.0,0.0,0.5,0.0,0.0
18,51.619012408863085,0.04269370211979566,35.0,10,0.7,-98.69925464422055,0.38244504927262307,0.6064386863984389,112.72966490063078,0.0,0.0,0.0,0.5,0.0,0.0
19,51.621322344612146,0.06165327358475899,21.0,30,0.1,-101.397161872205,-0.33182547089348546,0.6472764478981267,115.4588285388717,0.0,0.0,0.0,0.5,0.0,0.0
20,51.62604844264711,0.0757778087180214,58.0,30,0.15,-106.42758905636848,3.632219303245772,0.8477447765297599,120.34598191351134,0.0,0.0,0.0,0.5,0.0,0.0
21,51.630774341597366,0.08990335213914265,53.0,30,0.1,-100.56539603550904,3.148970869898074,0.8294468201634847,114.67570555931857,0.0,0.0,0.0,0.5,0.0,0.0
22,51.637917198103565,0.09919287610739186,44.0,40,0.15,-107.68041778152184,3.6024139449001273,0.8213621408602666,121.72006063866473,0.0,0.0,0.0,0.5,0.0,0.0
23,51.647477012853166,0.10364409609389971,23.0,30,0.15,-104.65596137277751,5.375128216799539,0.9007008257888371,118.66196137277745,0.0,0.0,0.0,0.5,0.0,0.0
24,51.65703662918022,0.10809327726357583,33.0,40,0.15,-102.92104462649064,5.681127042505138,0.885469998027646,116.96068748363348,0.0,0.0,0.0,0.5,0.0,0.0
25,51.66901240868476,0.10769903866475264,72.0,30,0.1,-105.22498561895618,3.7818120223601634,0.8530727627221582,119.22576483973539,0.0,0.0,0.0,0.5,0.0,0.0
26,51.673738903934435,0.12182765929723538,57.0,30,0.15,-101.61351090861751,5.461450712318726,0.9028417502635071,115.72382043242706,0.0,0.0,0.0,0.5,0.0,0.0
27,51.67846519992018,0.135957290832922,38.0,30,0.1,-105.82712004004765,4.098714677887469,0.8638497866857177,119.82789926082687,0.0,0.0,0.0,0.5,0.0,0.0
28,51.690440980036776,0.13555847334940369,48.0,40,0.15,-102.9393163299119,5.338774632660079,0.8764997953977254,116.97895918705471,0.0,0.0,0.0,0.5,0.0,0.0
29,51.69758383715409,0.14484495221046595,87.0,30,0.1,-106.65373516883442,2.9495121447180277,0.8214002739572382,120.65451438961361,0.0,0.0,0.0,0.5,0.0,0.0
