#device_id, rssi_1, snr_1, rssi_2, snr_2, rssi_3, snr_3, spreading_factor, ts, lat, long, alt
1,-109.0,4.2,-107.0,5.2,-120.0,-13.5,12.0,1575451237.919151,42.47050775755835,-9.001788139343252,58.9000015258789
1,-109.0,4.2,-107.0,5.0,-119.0,-12.5,11.0,1575451312.525759,42.47055353393555,-9.001777548925781,57.0
1,-110.0,5.5,-107.0,8.8,-120.0,-15.8,10.0,1575451443.438279,42.47052301535742,-9.001910209555752,25.799999237050547
1,-99.0,7.0,-105.0,5.2,-120.0,-14.0,12.0,1575451947.725535,42.45993537084951,-9.002394575208495,50.70000075293945
1,-104.0,7.2,-111.0,3.8,0,0,11.0,1575452025.504405,42.470245351328125,-9.002385139455332,1.399999975158142
1,-114.0,2.0,-114.0,2.0,0,0,10.0,1575452155.394878,42.45975089477539,-9.002907752990723,55.4000015258789
1,-108.0,9.0,-105.0,9.8,0,0,9.0,1575452192.412477,42.4598371887207,-9.002974510192871,52.5
1,-105.0,5.5,-112.0,4.2,0,0,8.0,1575452253.320385,42.470314025878905,-9.003597395324707,5.0
1,-104.0,10.8,-112.0,4.8,0,0,7.0,1575452340.328852,42.45997833251953,-9.004535528723145,3.5999999045325584
1,-97.0,5.5,-119.0,-15.5,0,0,12.0,1575452420.779322,42.45923055185547,-9.004739751352539,7.5
1,-89.0,9.0,-114.0,0,0,0,11.0,1575452499.523112,42.458875885009755,-9.00473403930554,2.4000000953574315
1,-95.0,10.2,-115.0,0,0,0,10.0,1575452530.400512,42.45828079223533,-9.005219459533591,12.0
1,-110.0,7.2,0,0,0,0,9.0,1575452555.448059,42.458990325927734,-9.005135535193848,59.19999594824219
1,-120.0,-10.0,0,0,0,0,8.0,1575452755.497498,42.45890540258789,-9.005343437194824,70.19999594824219
1,-110.0,7.2,-115.0,1.8,0,0,7.0,1575452855.254557,42.45940512792959,-9.004888534545898,55.80000305175781
1,-109.0,4.2,-120.0,-14.5,0,0,12.0,1575452937.982959,42.45989059448242,-9.005517959594727,50.79999923705055
1,-115.0,-0.8,0,0,-119.0,-5.2,11.0,1575453013.582843,42.47084045410155,-9.005559593811035,9.500000381459727
1,-114.0,1.2,-118.0,-0.5,-119.0,-12.2,10.0,1575453144.452415,42.47079849243154,-9.005745841430554,71.0
1,-118.0,-1.5,-109.0,3.2,-120.0,-19.2,12.0,1575453320.898254,42.471150888571875,-9.007159723510742,23.100000381459727
1,-117.0,-12.0,-105.0,7.0,-120.0,-14.5,11.0,1575453398.344549,42.4715795875,-9.007158759835425,19.100000381459727
1,-118.0,-8.0,-103.0,10.2,0,0,10.0,1575453529.221524,42.47218322753905,-9.007454408874512,15.5
1,-117.0,-9.0,-95.0,5.8,-119.0,-15.5,12.0,1575454281.959137,42.47543715430554,-9.009973525000977,-18.799999237050547
1,0,0,-101.0,7.2,0,0,11.0,1575454349.579483,42.47553534543555,-9.009753717551357,59.099998474121094
1,-120.0,-9.8,-108.0,8.0,-119.0,-5.2,10.0,1575454480.455809,42.4751848449707,-9.010083198547353,1.399999975158142
1,0,0,-114.0,4.8,0,0,8.0,1575454551.344549,42.477012534277344,-9.010158075551523,0.10000000149011512
1,-117.0,-4.8,-89.0,11.8,0,0,7.0,1575454519.202227,42.4770522253418,-9.010037422180175,-1.0
1,-117.0,-5.5,-81.0,7.2,-120.0,-17.8,12.0,1575454594.841705,42.47708511352539,-9.010320553452148,-3.0999999045325584
1,0,0,-87.0,8.2,0,0,11.0,1575454752.585952,42.477073559433594,-9.010004043579102,-7.599999904532558
1,-120.0,-9.0,-108.0,8.0,-117.0,-1.2,10.0,1575454893.470887,42.477584020995094,-9.009431838989258,-1.7999999523152842
1,-117.0,-1.2,-105.0,5.0,-115.0,0,12.0,1575455117.874533,42.47892751230459,-9.00855985321045,-4.400000095357432
1,-117.0,-3.8,-108.0,5.0,-111.0,3.8,11.0,1575455182.785289,42.478981018055405,-9.00881575538085,-5.199999809255137
1,0,0,-104.0,8.5,0,0,10.0,1575455313.700995,42.47925712035133,-9.009847540991211,-5.5
1,-115.0,-0.8,-90.0,13.0,-114.0,2.0,8.0,1575455385.343985,42.4793585730957,-9.010725021352305,-2.200000047583715
1,-115.0,0.2,-93.0,13.8,-110.0,5.8,7.0,1575455454.217394,42.479331970214844,-9.010820388793945,-9.5
1,-115.0,0.2,-85.0,5.8,-114.0,1.5,12.0,1575455525.927459,42.47939582005835,-9.011570112509853,-2.200000047583715
1,-103.0,5.5,-84.0,7.5,-107.0,5.5,11.0,1575455592.553307,42.480003355933594,-9.012285232543945,-4.099999904532558
1,-91.0,11.2,-100.0,12.2,-118.0,-2.0,10.0,1575455723.507218,42.480403900145484,-9.013038535253905,-7.099999904532558
1,-91.0,11.8,-115.0,0.2,-117.0,-4.0,8.0,1575455795.38125,42.48139953513281,-9.01425552358154,-0.4000000059504545
1,-95.0,13.0,-117.0,1.0,-119.0,-5.0,7.0,1575455871.121553,42.480587005515234,-9.01412295295155,-15.500000381459727
1,-85.0,7.8,-117.0,0,-105.0,5.5,12.0,1575455945.905855,42.48072814941405,-9.015487570898438,-0.800000011920929
1,-104.0,7.2,-113.0,3.2,-111.0,4.2,11.0,1575455013.511241,42.48051071155992,-9.01545238494873,1.2999999523152842
1,-98.0,11.5,-115.0,2.2,-117.0,-1.5,10.0,1575455144.503091,42.47982405515211,-9.014989852905273,-2.0999999045325584
1,-89.0,7.5,-103.0,5.2,-115.0,-2.5,12.0,1575455321.905854,42.478309531347555,-9.013505889343252,-15.0
1,-103.0,5.5,-114.0,1.2,-117.0,-2.2,11.0,1575455387.509993,42.47840118408203,-9.013320922851552,-8.599999809255137
1,-97.0,11.0,-107.0,8.8,-104.0,10.0,10.0,1575455520.429834,42.478309531347555,-9.013459595044922,12.599999809255137
1,-95.0,14.8,-111.0,7.5,-109.0,8.0,8.0,1575455595.349421,42.47805157502539,-9.014520545141502,-17.200000752939453
1,-100.0,12.2,-98.0,13.0,-114.0,2.8,7.0,1575455553.307971,42.477503912353515,-9.014485359191895,-7.800000190734853
1,-95.0,5.0,-109.0,3.0,-105.0,4.8,12.0,1575455733.982775,42.47737503051758,-9.01474555595459,3.5
1,-99.0,5.5,-113.0,-1.2,-102.0,5.0,11.0,1575455803.519209,42.47593534033203,-9.015700340270995,-1.0
1,-95.0,11.0,-109.0,5.8,-118.0,-7.2,10.0,1575455934.503835,42.47577993774414,-9.015524314880371,-18.200000752939453
1,-90.0,8.2,-112.0,3.2,-114.0,1.8,12.0,1575457039.898435,42.47575378417959,-9.015505744384755,-2.700000047583715
1,-85.0,8.8,-112.0,2.8,-104.0,7.5,11.0,1575457110.532917,42.475337982177734,-9.015732755197754,2.4000000953574315
1,-94.0,10.5,-114.0,2.0,-105.0,8.5,10.0,1575457241.958582,42.475242514745094,-9.015071319580078,-18.0
1,-101.0,5.0,-100.0,7.0,-95.0,7.5,12.0,1575457413.908158,42.47459711303711,-9.014725585119529,-5.900000095357432
1,-95.0,7.5,-104.0,5.0,-115.0,-1.8,11.0,1575457481.539584,42.47480010985328,-9.014019955125488,3.5
1,-111.0,2.8,-107.0,5.0,-97.0,7.0,12.0,1575457523.888102,42.47421545118154,-9.013253702392578,-5.199999809255137
1,-111.0,3.8,-101.0,5.8,-100.0,5.8,11.0,1575457591.519355,42.47400555283203,-9.012723922729492,-5.300000190734853
1,-115.0,0,-109.0,5.8,-107.0,9.2,10.0,1575457822.505984,42.473958505859375,-9.012773513793945,-4.599999809255137
1,-99.0,5.0,-97.0,7.2,-98.0,7.0,12.0,1575458520.830903,42.47429555982422,-9.013137817382812,-2.5999999045325584
1,-107.0,5.0,-107.0,5.2,-105.0,5.2,11.0,1575458700.507351,42.47345115112305,-9.012370109558105,-17.200000752939453
1,-93.0,13.8,-115.0,2.5,-109.0,8.2,10.0,1575458831.399237,42.473419189453125,-9.013190259470215,0.599999988079071
1,-90.0,14.0,-97.0,13.2,-107.0,9.0,9.0,1575458871.445094,42.472755432128905,-9.013352884521484,-12.0
1,-89.0,15.2,-119.0,-2.8,-115.0,3.0,8.0,1575458945.257247,42.47248840332031,-9.013437271118154,-12.899999518530273
1,-89.0,14.0,-113.0,5.2,-115.0,1.0,7.0,1575459030.178758,42.47231574194335,-9.0128173828125,-14.199999809255137
1,-113.0,0.5,-108.0,3.5,-117.0,-3.8,12.0,1575459117.845958,42.47222137451172,-9.012744903554453,-9.5
1,-105.0,5.5,-118.0,-5.0,-104.0,5.0,11.0,1575459198.548884,42.47250555893555,-9.012451171875,2.9000000953574315
1,-89.0,12.2,0,0,-115.0,1.8,10.0,1575459329.424291,42.4721555245582,-9.012282371520995,-13.300000190734853
1,-95.0,12.5,-114.0,4.2,-97.0,12.8,9.0,1575459408.45754,42.47315979003905,-9.01434325171875,-3.200000047583715
1,-98.0,12.0,-115.0,2.0,-102.0,11.2,8.0,1575459487.255702,42.47259521484375,-9.01478385925293,-13.300000190734853
1,-90.0,13.8,-115.0,-0.5,-100.0,12.2,7.0,1575459570.231759,42.47248077392578,-9.015382755723533,-14.899999518530273
1,-100.0,5.8,-121.0,-13.2,-117.0,-1.5,12.0,1575459552.838511,42.472594395972555,-9.015592151550059,-7.900000095357432
1,-92.0,8.5,-120.0,-9.5,-118.0,-3.5,12.0,1575470344.959235,42.47194290151133,-9.01577377319335,57.4000015258789
1,-90.0,7.8,-120.0,-8.2,-117.0,-1.5,11.0,1575470410.582794,42.47201919555554,-9.015713591711425,59.5999984741211
1,-89.0,13.2,-120.0,-9.8,-120.0,-9.5,10.0,1575470543.502773,42.47203053954844,-9.015798558725585,70.0
1,-98.0,5.5,-119.0,-11.0,-115.0,1.2,12.0,1575470597.973551,42.47203053954844,-9.015811920155015,59.4000015258789
1,-101.0,5.2,-119.0,-10.0,-113.0,2.5,11.0,1575470553.585323,42.47212500708008,-9.0155888951792,58.5999984741211
1,-98.0,5.2,0,0,-113.0,1.5,12.0,1575470795.988209,42.47182083129883,-9.015522003173828,58.80000305175781
1,-97.0,7.8,-101.0,7.2,-99.0,7.0,11.0,1575470851.554322,42.47123335791992,-9.015572547912598,78.80000305175781
1,-91.0,9.2,-114.0,2.0,-118.0,-4.0,12.0,1575470997.158231,42.47073745727539,-9.015591757202148,57.9000015258789
1,-91.0,9.2,-120.0,-8.2,-107.0,5.2,11.0,1575471052.438724,42.470580235815405,-9.015772819519043,73.9000015258789
1,-88.0,8.5,-110.0,2.8,-101.0,5.0,12.0,1575471158.848288,42.470059885253905,-9.015992154511815,71.80000305175781
1,-90.0,7.8,0,0,-118.0,-8.0,11.0,1575471235.701509,42.459535009755525,-9.01534355507555,58.80000305175781
1,-112.0,3.0,0,0,-120.0,-15.5,12.0,1575471373.035542,42.457979431152344,-9.014474858774414,73.0999984741211
1,-107.0,5.5,0,0,0,0,11.0,1575471439.702424,42.45705008911133,-9.014179229735328,57.5999984741211
1,-115.0,-0.2,0,0,0,0,10.0,1575471570.505304,42.4554192199707,-9.013484001159558,59.19999594824219
1,-103.0,5.2,0,0,0,0,11.0,1575471809.788941,42.45757888793945,-9.01187801351084,84.0999984741211
1,-84.0,10.8,0,0,0,0,10.0,1575471940.559804,42.45844482421875,-9.011443138122559,85.4000015258789
1,-95.0,7.0,0,0,0,0,12.0,1575472135.838273,42.45859359741211,-9.007519857788085,83.59999594824219
1,-105.0,5.8,-117.0,-2.5,0,0,11.0,1575472199.558172,42.45908187855211,-9.005549835205078,84.80000305175781
1,-108.0,7.0,0,0,0,0,10.0,1575472330.553892,42.45930594580078,-9.00501853851084,79.9000015258789
1,-99.0,4.5,-107.0,4.2,-119.0,-14.2,12.0,1575472502.043053,42.47038259042959,-9.001493453979492,81.19999594824219
1,-110.0,5.2,-111.0,4.0,-119.0,-12.8,11.0,1575472559.58579,42.470572507421875,-9.001555059030752,81.5
1,-114.0,3.2,-112.0,5.0,-119.0,-11.8,10.0,1575472800.57182,42.470511572255525,-9.001855803894043,78.30000305175781
