sample_number,latitude,longitude,elevation_m,land_cover,terrain_penalty,rssi_dbm,snr_db,pdr,path_loss_db
1,51.5,-0.12,5.0,80,0.0,-88.56517791748047,7.909555912017822,0.9846900256835587,102.56517791748047
2,51.50714285714287,-0.11071428571428572,10.0,50,0.8,-103.030517578125,1.5201722383499146,0.5797174920493455,117.03050231933594
3,51.51428571428571,-0.10142857142857142,25.0,50,0.8,-100.05050659179688,-0.40892428159713745,0.5417242565814655,114.05050659179688
4,51.52142857142857,-0.09214285714285714,32.0,50,0.8,-97.49935150146484,4.101961135864258,0.6290531335310675,111.49934387207031
5,51.52857142857143,-0.08285714285714285,19.0,10,0.6,-96.57732391357422,5.201921463012695,0.7604755058268906,110.57733154296875
6,51.535714285714285,-0.07357142857142857,19.0,10,0.6,-98.89736938476562,3.560331106185913,0.7128056556489158,112.89737701416016
7,51.542857142857144,-0.06428571428571428,19.0,50,0.8,-99.74087524414062,3.739778757095337,0.6222671495663962,113.7408676147461
8,51.55,-0.05499999999999999,15.0,50,0.8,-101.7820053100586,-0.5432004332542419,0.539056264448386,115.78201293945312
9,51.557142857142864,-0.04571428571428571,11.0,10,0.6,-101.45381927490234,-3.2818281650543213,0.4707149997651395,115.45381164550781
10,51.56428571428571,-0.03642857142857142,9.0,10,0.6,-101.70567321777344,-3.669184684753418,0.4562676079027727,115.7056655883789
11,51.57142857142857,-0.027142857142857135,14.0,50,0.8,-101.43634033203125,-2.8444063663482666,0.49311230839481374,115.43632507324219
12,51.57857142857142,-0.01785714285714285,20.0,50,0.8,-98.42466735839844,2.9961094856262207,0.6081848657124693,112.42465209960938
13,51.585714285714296,-0.008571428571428563,35.0,50,0.8,-98.55455017089844,1.2662843465805054,0.574760953394465,112.55451965332031
14,51.59285714285714,0.0007142857142857229,37.0,50,0.8,-96.51861572265625,4.777832984924316,0.6415795947989008,110.51858520507812
15,51.60000000000001,0.010000000000000009,65.0,10,0.6,-98.10565948486328,1.1543693542480469,0.6337075246465543,112.10562896728516
16,51.60714285714286,0.019285714285714295,64.0,10,0.6,-100.72823333740234,-0.1206398606300354,0.5882907787664075,114.72823333740234
17,51.614285714285714,0.02857142857142858,67.0,30,0.15,-104.56788635253906,-3.165175199508667,0.4535718695043312,118.5678939819336
18,51.621428571428574,0.03785714285714287,64.0,10,0.6,-97.9656753540039,2.0274109840393066,0.663540397523036,111.9656982421875
19,51.62857142857143,0.04714285714285715,31.0,10,0.6,-101.5357894897461,-0.4918326735496521,0.5747419750890366,115.53579711914062
20,51.63571428571429,0.05642857142857144,23.0,50,0.8,-98.55720520019531,0.7210778594017029,0.5640674307593472,112.55721282958984
21,51.642857142857146,0.06571428571428573,45.0,30,0.15,-104.77291107177734,-0.38895002007484436,0.6436161194166673,118.77289581298828
22,51.650000000000006,0.07500000000000001,56.0,50,0.8,-99.02498626708984,-0.9916530847549438,0.5301303871966668,113.02498626708984
23,51.65714285714286,0.0842857142857143,37.0,30,0.15,-98.95397186279297,1.7773135900497437,0.76810607685173,112.9539794921875
24,51.664285714285725,0.09357142857142858,50.0,40,0.25,-105.37106323242188,-0.6990700364112854,0.610694509321048,119.37104034423828
25,51.67142857142858,0.10285714285714287,54.0,10,0.6,-102.92314910888672,0.09806768596172333,0.596212922560052,116.92317199707031
26,51.67857142857143,0.11214285714285714,52.0,40,0.25,-102.19847106933594,1.1289812326431274,0.712436137012192,116.1984634399414
27,51.68571428571429,0.12142857142857144,62.0,30,0.15,-102.05986785888672,-2.6722524166107178,0.48794466767098604,116.05986785888672
28,51.69285714285714,0.13071428571428573,61.0,40,0.25,-107.13095092773438,-1.8381788730621338,0.54126971527495,121.1309585571289
29,51.7,0.14,86.0,40,0.25,-104.46056365966797,-0.5846240520477295,0.6174748619987882,118.46057891845703
