sample_number,latitude,longitude,elevation_m,land_cover,terrain_penalty,rssi_dbm,snr_db,pdr,path_loss_db
1,51.5,-0.12,5.0,80,0.0,-88.56517791748047,7.909555912017822,0.9846900256835587,102.56517791748047
2,51.522222222222226,-0.0911111111111111,25.0,50,0.95,-96.3310775756836,3.2959086894989014,0.6138850790557976,110.33108520507812
3,51.544444444444444,-0.062222222222222213,20.0,10,0.7,-97.2006607055664,2.4296367168426514,0.6768745921033538,111.20066833496094
4,51.56666666666667,-0.033333333333333326,7.0,50,0.95,-102.11600494384766,-4.817453384399414,0.45378323589870556,116.1159896850586
5,51.58888888888889,-0.004444444444444431,28.0,50,0.95,-98.11243438720703,-1.2267498970031738,0.5254430072850123,112.11241912841797
6,51.611111111111114,0.024444444444444463,70.0,10,0.7,-97.06005096435547,-0.5617772936820984,0.5721756733621872,111.06006622314453
7,51.63333333333333,0.053333333333333344,23.0,50,0.95,-99.45426940917969,-0.07384880632162094,0.5483712666427085,113.45426940917969
8,51.65555555555556,0.08222222222222225,44.0,50,0.95,-97.27320098876953,1.0713809728622437,0.5709456640785723,111.27320098876953
9,51.67777777777778,0.11111111111111113,50.0,40,0.15,-104.18844604492188,-0.7626907229423523,0.6069065175044019,118.18844604492188
10,51.7,0.14,86.0,40,0.25,-104.46056365966797,-0.5846240520477295,0.6174748619987882,118.46057891845703
