grid_x,grid_y,latitude,longitude,elevation_m,land_cover,terrain_penalty,rssi_dbm,snr_db,pdr,path_loss_db
0,0,51.51690759255387,-0.15377996631350777,30.0,50,0.95,-120.0,-10.0,0.0,120.0
0,1,51.514492816282775,-0.14895272172876242,32.0,50,0.95,-120.0,-10.0,0.0,120.0
0,2,51.51207784191688,-0.1441259889421053,29.0,50,0.95,-120.0,-10.0,0.0,120.0
0,3,51.509662669494304,-0.1392997678969687,34.0,50,0.8,-120.0,-10.0,0.0,120.0
0,4,51.50724729905322,-0.13447405853677707,27.0,10,0.7,-120.0,-10.0,0.0,120.0
0,5,51.50483173063172,-0.1296488608049471,10.0,10,0.6,-120.0,-10.0,0.0,120.0
0,6,51.50241596426794,-0.1248241746448877,16.0,50,0.95,-120.0,-10.0,0.0,120.0
0,7,51.5,-0.12,5.0,80,0.0,-120.0,-10.0,0.0,120.0
0,8,51.497583837866,-0.1151763368136774,7.0,50,0.95,-120.0,-10.0,0.0,120.0
0,9,51.49516747790404,-0.11035318502930556,7.0,50,0.8,-120.0,-10.0,0.0,120.0
0,10,51.49275092015221,-0.10553054459026243,1.0,50,0.95,-120.0,-10.0,0.0,120.0
0,11,51.49033416464864,-0.10070841543991817,6.0,50,0.8,-120.0,-10.0,0.0,120.0
0,12,51.487917211431345,-0.09588679752163529,6.0,50,0.95,-120.0,-10.0,0.0,120.0
0,13,51.485500060538456,-0.09106569077876855,5.0,50,0.95,-120.0,-10.0,0.0,120.0
0,14,51.48308271200802,-0.08624509515466511,3.0,50,0.95,-120.0,-10.0,0.0,120.0
1,0,51.52405044845513,-0.14449955056551864,37.0,50,0.95,-97.7995834350586,7.087491512298584,0.6828714294423915,111.79956817626953
1,1,51.52163567251354,-0.13967154841315052,36.0,50,0.95,-99.38671875,5.266615867614746,0.6505208097476483,113.38670349121094
1,2,51.5192206984264,-0.13484405827013976,32.0,50,0.95,-98.46968841552734,2.526933193206787,0.5992052289842602,112.46968841552734
1,3,51.51680552623187,-0.13001708007988952,39.0,50,0.8,-98.13626861572266,7.087491512298584,0.6828714294423915,112.1362533569336
1,4,51.51439015596812,-0.12519061378579524,31.0,50,0.95,-99.6658935546875,3.3104777336120605,0.6141613066213629,113.6658935546875
1,5,51.511974587673286,-0.1203646593312446,30.0,50,0.8,-106.9341049194336,2.9956746101379395,0.608176575352907,120.93409729003906
1,6,51.50955882138549,-0.11553921665961739,3.0,80,0.0,-90.59424591064453,4.546179294586182,0.9436658771119567,104.59423828125
1,7,51.50714285714287,-0.11071428571428572,10.0,50,0.8,-101.309814453125,3.248250722885132,0.6129809774419743,115.30979919433594
1,8,51.50472669498355,-0.10588986643861392,12.0,50,0.95,-98.96330261230469,4.384509563446045,0.6343120763049848,112.96329498291016
1,9,51.50231033494564,-0.10106595877595857,6.0,50,0.8,-95.8614501953125,3.1270453929901123,0.6106781380856076,109.86144256591797
1,10,51.499893777067264,-0.09624256266966849,9.0,50,0.95,-97.78800964355469,3.7157182693481445,0.6218146083590561,111.78800201416016
1,11,51.497477021386544,-0.0914196780630848,4.0,50,0.8,-96.91452026367188,3.913382053375244,0.6255260101020452,110.91451263427734
1,12,51.49506006794155,-0.08659730489954089,5.0,10,0.7,-97.82275390625,3.6975648403167725,0.7170011734513324,111.82274627685547
1,13,51.49264291677038,-0.0817754431223624,6.0,50,0.95,-96.30079650878906,3.667171001434326,0.6209008625062822,110.30078887939453
1,14,51.490225567911125,-0.07695409267486734,3.0,50,0.95,-96.74823760986328,4.327141761779785,0.6332468575142868,110.74822998046875
2,0,51.53119330435598,-0.13521913700523364,29.0,50,0.95,-99.7008056640625,1.995484709739685,0.5889529892914234,113.7008056640625
2,1,51.52877852874399,-0.13039037697236772,26.0,50,0.95,-98.7458724975586,0.758824348449707,0.5648098215021944,112.74588012695312
2,2,51.52636355493571,-0.12556212916024354,29.0,50,0.95,-99.65680694580078,2.1044387817382812,0.5910614535006491,113.65680694580078
2,3,51.52394838296931,-0.12073439351223524,31.0,10,0.6,-95.7706069946289,2.803128242492676,0.6890044736006292,109.7706069946289
2,4,51.521533012882955,-0.1159071699717092,27.0,50,0.95,-98.76577758789062,0.4663792848587036,0.5590507194556253,112.76577758789062
2,5,51.51911744471479,-0.11108045848202401,32.0,50,0.8,-99.11346435546875,2.8715450763702393,0.6058076661918743,113.11346435546875
2,6,51.51670167850301,-0.10625425898653042,30.0,50,0.95,-99.91022491455078,2.3986949920654297,0.5967389428458172,113.91021728515625
2,7,51.51428571428571,-0.10142857142857142,25.0,50,0.8,-99.11851501464844,1.045416235923767,0.5704367495640158,113.11851501464844
2,8,51.511869552101075,-0.09660339575148227,19.0,50,0.95,-99.22260284423828,5.026199817657471,0.6461356881287492,113.22258758544922
2,9,51.5094531919872,-0.09177873189859043,10.0,50,0.8,-108.03520202636719,2.563293695449829,0.5999036091367956,122.03519439697266
